"Unix time","Rel. Time","Beam Current (mA)","Counts 34","Counts 35","Current 34 (mA)","Current 35 (mA)","Time 34 (ps)","Accuracy 45 (ps)","Time 35 (ps)","Accuracy 35 (ps)"
1479325657,61,1.5345,0.044074045503059,1.48,0.044338301423454,1.49016169857655,427.62011380681,0.812196497341742,425.399625107872,0.338573689779983
1479325717,121,1.5245,0.042302673951781,1.47,0.042527734311768,1.48197226568823,428.631319433663,0.673397710682296,426.104662727752,0.449489730095457
1479325794,198,1.5115,0.041676969749315,1.46,0.041920001303087,1.46957999869691,430.183372306274,0.762206288064168,426.979663546916,0.376756666366748
1479325854,258,1.5005,0.043747832668976,1.45,0.04400037791239,1.45649962208761,430.397420917799,0.798391159209438,427.548917327897,0.37620367343633
1479325915,319,1.4905,0.042486525756702,1.44,0.042732093792077,1.44776790620792,430.230032268355,0.971169853103057,427.513666703547,0.369021962785038
1479325975,379,1.482,0.042150188957908,1.43,0.042432661717922,1.43956733828208,430.296705519993,0.883729998057338,427.557161323691,0.397096427335113
1479326036,440,1.4735,0.043876619346831,1.42,0.044130928363632,1.42936907163637,429.54372048942,0.802767644053959,426.476567557387,0.378780843071778
1479326097,501,1.4635,0.043912190682509,1.41,0.044169656295631,1.41933034370437,431.873622216997,0.859864937661635,428.282714443114,0.35289633435471
1479326158,562,1.452,0.041702813208302,1.4,0.041950777896996,1.410049222103,430.910602122665,0.709564634651292,427.9762850867,0.38163763931332
1479326219,623,1.445,0.041793411910945,1.39,0.042051972126681,1.40294802787332,429.520168582926,0.760798962730637,427.549409747883,0.414711744705422
1479326280,684,1.4355,0.041555157332038,1.39,0.041803092084796,1.3936969079152,431.92611993878,0.870698919263862,427.909068847441,0.349959856970539
1479326341,745,1.427,0.04139714919863,1.38,0.041646118285964,1.38535388171404,430.314672218984,0.910607547704785,429.487957134413,0.407763842126664
1479326402,806,1.4185,0.042496911844119,1.37,0.042753757611427,1.37574624238857,432.030265277291,0.705774166624766,429.371106889206,0.398613887375237
1479326463,867,1.4105,0.039533469706045,1.36,0.039768983276299,1.3707310167237,432.015666735495,0.727914760739648,428.250390746328,0.398194598330779
1479326524,928,1.4025,0.041291830043267,1.35,0.041534714902588,1.36096528509741,431.4592878669,0.899569079450941,428.902955977975,0.389608330699271
1479326585,989,1.3955,0.041881618421655,1.34,0.042148023738189,1.35335197626181,432.539776954499,0.631236872135122,430.082625849977,0.398518345533016
1479326647,1051,1.384,0.04139608148853,1.33,0.041663082106429,1.34233691789357,430.863504181858,0.9581193673375,429.739657957057,0.464747299709482
1479326708,1112,1.378,0.041090862643551,1.33,0.041357876652291,1.33664212334771,431.501852012019,1.03787539237101,428.864433228327,0.397336213434375
1479326769,1173,1.3675,0.041785252828607,1.32,0.042037257152226,1.32546274284777,430.409953421858,0.775114309675587,427.909472453237,0.34777906825895
1479326830,1234,1.3595,0.040411966463415,1.31,0.040646944696711,1.31885305530329,428.775638256639,0.789177937243406,427.394732864372,0.451747058806912
1479326892,1296,1.3515,0.042301143200963,1.30015824308063,0.042586014608944,1.30891398539106,429.553342548587,0.691708634654219,426.510857514515,0.375663205783945
1479326953,1357,1.3445,0.041542298394668,1.29451671047691,0.041804755494149,1.30269524450585,430.075939172724,0.75119957115501,427.065344802514,0.351196658848872
1479327014,1418,1.3365,0.040200474930296,1.29,0.040454257962503,1.2960457420375,429.414220899659,0.756941409665448,426.833878902784,0.435378532049354
